launch_id,date,time,rocket,mission,pad_location,location,status,wx_probability,details_url
b93d5dbe-f3c1-4845-8716-fbf43d1dfd66,2025-06-05,20:45:00,Long March 6A,SatNet LEO Group 04,"Taiyuan Satellite Launch Center, People's Republic of China",China,Launch Successful,,
b3f7dd08-1e48-498c-8fcb-193b8d54ed6b,2025-06-07,04:54:00,Falcon 9 Block 5,Sirius SXM-10,"Cape Canaveral SFS, FL, USA",United States of America,Launch Successful,85.0,
fb36a6be-e8e1-4bb9-9833-7cf98aa91d78,2025-06-08,14:20:10,Falcon 9 Block 5,Starlink Group 15-8,"Vandenberg SFB, CA, USA",United States of America,Launch Successful,,
e084e9ae-5d37-4c4c-b6a9-1bc6047086f3,2025-06-10,13:05:40,Falcon 9 Block 5,Starlink Group 12-24,"Cape Canaveral SFS, FL, USA",United States of America,Launch Successful,95.0,
0a4ae6ce-07ef-4e48-9b4d-0bf4e1182134,2025-06-11,15:31:00,Electron,The Mountain God Guards (iQPS Launch 3),"Rocket Lab Launch Complex 1, Mahia Peninsula, New Zealand",New Zealand,Launch Successful,70.0,
20f57212-6c6c-45c9-ba80-b4f90a470c7c,2025-06-13,01:54:50,Falcon 9 Block 5,Starlink Group 15-6,"Vandenberg SFB, CA, USA",United States of America,Launch Successful,,
f52bce97-24cc-4ee5-9140-480c68bd65cf,2025-06-13,15:29:00,Falcon 9 Block 5,Starlink Group 12-26,"Cape Canaveral SFS, FL, USA",United States of America,Launch Successful,60.0,
bb2d58b8-c5da-4cdb-9cd2-a646c1f62591,2025-06-14,07:56:00,Long March 2D,Zhangheng-1-02,"Jiuquan Satellite Launch Center, People's Republic of China",China,Launch Successful,,
b9c7d6a5-49cc-4ce2-b1ef-1a4f3d049658,2025-06-17,03:36:50,Falcon 9 Block 5,Starlink Group 15-9,"Vandenberg SFB, CA, USA",United States of America,Launch Successful,,
35c0c65c-3077-45e8-a374-790f7d202ccb,2025-06-18,05:55:10,Falcon 9 Block 5,Starlink Group 10-18,"Cape Canaveral SFS, FL, USA",United States of America,Launch Successful,95.0,
4e6e74a5-6ffb-4dc3-8f39-90545067bf12,2025-06-19,03:00:00,Angara A5/Briz-M,Kosmos 2589,"Plesetsk Cosmodrome, Russian Federation",Russia,Launch Successful,,
7339173c-ff5d-4cd1-bd08-ed92f8362745,2025-06-20,12:37:00,Long March 3B/E,ChinaSat 9C,"Xichang Satellite Launch Center, People's Republic of China",China,Launch Successful,,
f78364d9-3c60-4c72-a410-84a499233db0,2025-06-23,05:58:30,Falcon 9 Block 5,Starlink Group 10-23,"Cape Canaveral SFS, FL, USA",United States of America,Launch Successful,90.0,
9d90b9bc-9c62-4618-8514-6f835b4a2030,2025-06-23,10:54:30,Atlas V 551,Project Kuiper (KA-02),"Cape Canaveral SFS, FL, USA",United States of America,Launch Successful,85.0,
0d3c2ff0-3b31-4066-8b33-5759b6866c39,2025-06-23,21:25:30,Falcon 9 Block 5,Transporter 14 (Dedicated SSO Rideshare),"Vandenberg SFB, CA, USA",United States of America,Launch Successful,,
0805af04-c2ea-4750-9eb4-f24f89eeb5d6,2025-06-25,06:31:52,Falcon 9 Block 5,Axiom Space Mission 4,"Kennedy Space Center, FL, USA",United States of America,Launch Successful,90.0,
bf1ba689-89cb-4ca5-9a10-2187cbec279b,2025-06-25,19:54:50,Falcon 9 Block 5,Starlink Group 10-16,"Cape Canaveral SFS, FL, USA",United States of America,Launch Successful,80.0,
140dd3f9-da40-4558-878f-a84246d76151,2025-06-26,17:28:00,Electron,Get The Hawk Outta Here (4x HawkEye 360),"Rocket Lab Launch Complex 1, Mahia Peninsula, New Zealand",New Zealand,Launch Successful,,
6eec6708-ec59-4e83-94a9-3f861594bb0e,2025-06-28,04:26:00,Falcon 9 Block 5,Starlink Group 10-34,"Cape Canaveral SFS, FL, USA",United States of America,Launch Successful,60.0,
0f16b696-d248-4096-9be7-953802c569b2,2025-06-28,07:08:00,Electron,Symphony In The Stars,"Rocket Lab Launch Complex 1, Mahia Peninsula, New Zealand",New Zealand,Launch Successful,,
87d3fde4-e6f6-4e8b-bc9a-d5c28915acb3,2025-06-28,16:33:03,H-IIA 202,GOSAT-GW (Ibuki GW),"Tanegashima Space Center, Japan",Japan,Launch Successful,,
903b888d-7633-4104-9db3-ed3e5263759c,2025-06-28,17:13:00,Falcon 9 Block 5,Starlink Group 15-7,"Vandenberg SFB, CA, USA",United States of America,Launch Successful,,
a6317760-1c15-4064-8b1f-fc3f68882a77,2025-07-01,21:04:00,Falcon 9 Block 5,MTG-S1,"Kennedy Space Center, FL, USA",United States of America,Launch Successful,20.0,
17500639-e28a-429b-a8cb-02c3f47b3379,2025-07-02,06:28:10,Falcon 9 Block 5,Starlink Group 10-25,"Cape Canaveral SFS, FL, USA",United States of America,Launch Successful,90.0,
0ab496a8-c2e1-455f-b88c-f2ec5eecb825,2025-07-03,09:35:00,Long March 4C,Shiyan 28 B-01,"Xichang Satellite Launch Center, People's Republic of China",China,Launch Successful,,
dc076ce3-bff6-434d-bfce-8eaaa9800067,2025-07-03,19:32:40,Soyuz 2.1a,Progress MS-31 (92P),"Baikonur Cosmodrome, Republic of Kazakhstan",Kazakhstan,Launch Successful,,
017fa05c-4225-44f1-81f4-94a559547238,2025-07-08,08:21:00,Falcon 9 Block 5,Starlink Group 10-28,"Cape Canaveral SFS, FL, USA",United States of America,Launch Successful,95.0,
d54113f9-985e-4e40-a7e7-dbeb07b85b44,2025-07-13,05:04:00,Falcon 9 Block 5,Dror-1,"Cape Canaveral SFS, FL, USA",United States of America,Launch Successful,80.0,
5c133377-be3c-41f1-ac6a-c24668d78bc3,2025-07-14,21:34:23,Long March 7,Tianzhou-9,"Wenchang Space Launch Site, People's Republic of China",China,Launch Successful,,
8a06f398-67af-409e-9fac-8de4ef3a42c4,2025-07-16,02:05:20,Falcon 9 Block 5,Starlink Group 15-2,"Vandenberg SFB, CA, USA",United States of America,Launch Successful,,
fa8460de-5bbc-42fe-8702-47bf5dde5442,2025-07-16,06:30:00,Falcon 9 Block 5,Project Kuiper (KF-01),"Cape Canaveral SFS, FL, USA",United States of America,Launch Successful,80.0,
